name,score,updated_at
Hiu Man Yip,0.0,2026-03-14T06:16:48.773297
In-Won Park,1.0,2026-03-14T06:16:48.773310
Gabriel Jiménez-Moreno,0.0,2026-03-14T06:16:48.773315
Ang Chen,0.0,2026-03-14T06:16:48.773318
H. Harry Asada,0.0,2026-03-14T06:16:48.773322
Stefan Alfredsson,0.0,2026-03-14T06:16:48.773325
May Taraud,0.0,2026-03-14T06:16:48.773329
Bruce M. McMillin,0.0,2026-03-14T06:16:48.773332
Ehsan Hajiramezanali,0.0,2026-03-14T06:16:48.773335
Nael Fasfous,0.0,2026-03-14T06:16:48.773338
Dermot Morris,0.0,2026-03-14T06:16:48.773341
Chihuy Bang,0.0,2026-03-14T06:16:48.773345
Puning Yu,0.0,2026-03-14T06:16:48.773349
M. Antonim,0.0,2026-03-14T06:16:48.773352
Simon Duque Antón,0.0,2026-03-14T06:16:48.773356
Charles Cheung,0.0,2026-03-14T06:16:48.773359
Benedict Flade,0.0,2026-03-14T06:16:48.773362
Brendan MacLean,0.0,2026-03-14T06:16:48.773365
V. S. Unni,0.0,2026-03-14T06:16:48.773368
Gregg Stangl,0.0,2026-03-14T06:16:48.773371
Arne Rubehn,0.0,2026-03-14T06:16:48.773374
David G. Falconer,0.0,2026-03-14T06:16:48.773378
Seungyon Claire Lee,0.9,2026-03-14T06:16:48.773381
Stephan Larson,0.0,2026-03-14T06:16:48.773384
Natasha Kelkar,0.0,2026-03-14T06:16:48.773388
Aaron Hunter,0.0,2026-03-14T06:16:48.773391
Mert Saglam,0.0,2026-03-14T06:16:48.773394
Nasser Mohammadiha,0.0,2026-03-14T06:16:48.773397
Seiichi Yoshizumi,0.0,2026-03-14T06:16:48.773400
Tanya Parish,0.0,2026-03-14T06:16:48.773403
Il-Kyun Jung,1.0,2026-03-14T06:16:48.773406
Sangeet Khemlani,0.0,2026-03-14T06:16:48.773410
Stephan Fuchs,0.0,2026-03-14T06:16:48.773413
Keith A. Smith,0.0,2026-03-14T06:16:48.773416
David Arathorn,0.0,2026-03-14T06:16:48.773419
Hua Leong Fwa,0.0,2026-03-14T06:16:48.773422
Zhongyang Zhou,0.0,2026-03-14T06:16:48.773425
Mikko Kovalainen,0.0,2026-03-14T06:16:48.773429
Davide Allegro,0.0,2026-03-14T06:16:48.773432
Kevin Mueller,0.0,2026-03-14T06:16:48.773435
Denise Visser,0.0,2026-03-14T06:16:48.773438
Jianliang He,0.0,2026-03-14T06:16:48.773441
Brett Wiseman,0.0,2026-03-14T06:16:48.773444
Pramath R. Sinha,0.0,2026-03-14T06:16:48.773447
Vijendran Gopalan Venkoparao,0.0,2026-03-14T06:16:48.773450
Hyuntaek Jung,1.0,2026-03-14T06:16:48.773453
Kyriakos Fytrakis,0.0,2026-03-14T06:16:48.773456
